content,label
đặt hoojem size M với,ordering
1 tách Bạc Sỉu size small,ordering
cho thêm 1 espresso size s,ordering
cho tôi đặt hàng : 1 latte nóng size regular,ordering
cho một trà đào size lớn,ordering
Mình 1 cái size s nhé,ordering
Nga Do chị đặt giúp em 1 áo màu hồng size 150 với nhé,ordering
cho tôi một cốc cà phê nóng size nhỏ,ordering
cho 2 americano nóng medium size tới 17 duy tân nhé,ordering
 Cho em 3 kim cương đen trân châu đen size L với nà .,ordering
Em đặt size M 2 áo xanh còn lại được không chị . Ship em áo cam kia chị nhé . Địa_chỉ : 21 hàng thiếc . Số điện thoại : 01666775552,ordering
cho mình 1 latte đá size small và 1 latte đá size regular,ordering
Em ơi đặt giúp chị 2 cái size S mầu Xanh và Trắng nhé - điện thoại : 01696687273 địa/chỉ : 104-5C - ngõ 96 võ_thị_sáu-Hai bà trưng-Hà nội,ordering
1 sô cô la đá xay size regular,ordering
cho mình 1 sinh tố việt quất size small và một sinh tố việt quất size regular,ordering
1 sinh tố cam xoài size regular,ordering
1 mojito chanh dây size regular,ordering
Cho mình mua màu nâu size S,ordering
cho một trà đào cam sả size lớn,ordering
 size M .,ordering
"Minh_Hang_Ngo ơi , đặt cho em 1 đôi , em hay đi 37",ordering
cho mình 1 latte đá size regular và 1 trà đào cam sả  size small,ordering
cho mình một mocha size small và 1 mocha size regular,ordering
ship giúp chị 1 áo màu xám + 1 áo màu vàng size M nhé_chị đã inbox số điện thoại & địa_chỉ em rồi,ordering
 Z e lấy1 cốc vị sôcôla sai m là 29k ạ .,ordering
"Chị đặt một cái green này nhé , size M_Thanks em",ordering
"sample: [Cho m 1 sinh tố cam xoài. 1 matchiato matcha, 1 sinh tố dâu ổi. Đều sz M ạ.,Cho mình 1 sinh tố cam xoài. 1 matchiato matcha, 1 sinh tố dâu ổi. Đều size M ạ.]",ordering
cho một trà chanh size m,ordering
cho một cốc cà phê nâu nóng size vừa,ordering
"Huyen_Vu ơi , order cho em bộ xanh size s : )",ordering
" À, cho mình 2 size L nhé .",ordering
 Ship cho mình 1 trà sữa milk tea size m thêm nhân rau câu nhé. .,ordering
" Cho e 2 trà sữa bạc hà, 1 dâu size lớn. Tất cả đều thêm trân châu. .",ordering
"Còn đặt được không bạn ? Nếu có cho mình đặt một cái này màu navy 69 , size 110 nhé",ordering
"Shop ơi chị lấy cái mầu Gray size S nhé , em đưa vào tài khoản của chị , lúc_nào có hàng của chị về thì chị lấy cùng nhé",ordering
 Cho m size M .,ordering
Chị lấy 3 cái này size XL nhé,ordering
cho mình 1 cappuchino nóng size m,ordering
 Và 1 cốc size L vị hokkaido như trên cho em vs ạ .,ordering
"sample: [B ơi ship cho m 1 trà sữa bạc hà size M nhiều trân châu nha,Bạn ơi ship cho mình 1 trà sữa bạc hà size M nhiều trân châu nha]",ordering
"Chị muốn order size 130 , về trước tết không em ?",ordering
1 sinh tố dâu ổi size regular,ordering
Anh lấy cái áo trên hình demo của em . size s nhé .,ordering
